"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,13.4795418392744,11.9764176485949,14.7822395662529
"2",2,12.615763093354,10.8632744391291,13.7587478945136
"3",3,11.7073942982689,10.0269723806864,13.2123257046316
"4",4,11.112741304227,9.65311385353345,12.167970988553
"5",5,9.8033987890354,7.95309261057084,11.1307050548943
"6",6,10.2104404581665,8.6086740260796,11.5255542041982
"7",7,11.4028551239168,10.5262141107301,12.1513023431128
"8",8,12.357138467944,11.3085101660373,13.2080898614377
"9",9,13.3949569446565,12.2743963835042,14.3514994201151
"10",10,14.3357828216571,12.5811228462966,15.7210274381912
"11",11,15.1899003423741,13.8457450709177,16.0013490166544
"12",12,14.7335177497516,12.9601848017253,15.685553125148
