"month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
3,8.91494213590402,7.06666666666667,11.2666666666667
4,10.7155741204518,7.56818181818182,14.9409090909091
5,15.221635109206,10.532,21.328
6,20.2188223394018,15.228,25.392
7,23.5071200486991,20.0846153846154,27.55
8,23.3613656493273,20.2576923076923,26.9576923076923
9,19.777526790914,15.816,24.188
10,13.3581932367684,8.37916666666667,18.3416666666667
11,6.66847369372707,2.375,11.475
12,3.95568087905371,1.86666666666667,5.77619047619048
