"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,7.19495820694304,3.947,9.181
"2",2,7.77223446019629,6.509,10.295
"3",3,11.0261958797703,8.393,13.651
"4",4,14.6426229565217,10.918,19.277
"5",5,20.7592216965191,15.552,25.122
"6",6,25.5572175732218,21.724,29.623
"7",7,27.3559935940661,25.191,30.524
"8",8,27.1875728422101,25.0005,30.3925
"9",9,24.9254409722222,21.758,28.835
"10",10,20.2495245460659,16.979,24.142
"11",11,15.0945552816143,10.579,18.7295
"12",12,9.04569462572585,6.8785,11.9665
