"","popsite","bag_site","pop","bags_label","t","surv","oldpop","letters"
"1","Lewisetta:DEBY","Lewisetta","S2-DEBY","MVP-DEBY-1","3",0.679290053668238,"DEBY","bcd"
"2","Lewisetta:DEBY","Lewisetta","S2-DEBY","MVP-DEBY-2","3",0.548111188285824,"DEBY","bcd"
"3","Lewisetta:FL","Lewisetta","W3-FL","MVP-FL-1","3",0.845329882145611,"FL","abc"
"4","Lewisetta:FL","Lewisetta","W3-FL","MVP-FL-2","3",0.616191456168885,"FL","abc"
"5","Lewisetta:FL","Lewisetta","W3-FL","MVP-FL-3","3",0.676934663905103,"FL","abc"
"6","Lewisetta:HYBRIDMIX","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-1","3",0.523452653524692,"HYBRIDMIX","bcd"
"7","Lewisetta:HYBRIDMIX","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-2","3",0.66984667802385,"HYBRIDMIX","bcd"
"8","Lewisetta:HYBRIDMIX","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-3","3",0.600685727347188,"HYBRIDMIX","bcd"
"9","Lewisetta:LA","Lewisetta","W2-LA","MVP-LA-1","3",0.890979520920562,"LA","a"
"10","Lewisetta:LA","Lewisetta","W2-LA","MVP-LA-2","3",0.914076413420371,"LA","a"
"11","Lewisetta:LOLA","Lewisetta","S1-LOLA","MVP-LOLA-1","3",0.743191489361702,"LOLA","ab"
"12","Lewisetta:LOLA","Lewisetta","S1-LOLA","MVP-LOLA-2","3",0.777710986316539,"LOLA","ab"
"13","Lewisetta:LOLA","Lewisetta","S1-LOLA","MVP-LOLA-3","3",0.775912128427683,"LOLA","ab"
"14","Lewisetta:ME","Lewisetta","W6-ME","MVP-ME-1","3",0.0915826230290411,"ME","ghi"
"15","Lewisetta:ME","Lewisetta","W6-ME","MVP-ME-2","3",0.158856830187091,"ME","ghi"
"16","Lewisetta:ME","Lewisetta","W6-ME","MVP-ME-3","3",0.262733968733083,"ME","ghi"
"17","Lewisetta:NH","Lewisetta","W5-NH","MVP-NH-1","3",0.181066053821632,"NH","hi"
"18","Lewisetta:NH","Lewisetta","W5-NH","MVP-NH-2","3",0.155728314238953,"NH","hi"
"19","Lewisetta:NH","Lewisetta","W5-NH","MVP-NH-3","3",0.0686184706359789,"NH","hi"
"20","Lewisetta:SEEDMIX","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-1","3",0.544898917240857,"SEEDMIX","bcd"
"21","Lewisetta:SEEDMIX","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-2","3",0.65761819850077,"SEEDMIX","bcd"
"22","Lewisetta:SEEDMIX","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-3","3",0.624056685962093,"SEEDMIX","bcd"
"23","Lewisetta:TX","Lewisetta","W1-TX","MVP-TX-1","3",0.651261612226551,"TX","ab"
"24","Lewisetta:TX","Lewisetta","W1-TX","MVP-TX-2","3",0.832548824742889,"TX","ab"
"25","Lewisetta:TX","Lewisetta","W1-TX","MVP-TX-3","3",0.772438078892078,"TX","ab"
"26","Lewisetta:VA","Lewisetta","W4-VA","MVP-JR-1","3",0.57216886860862,"VA","cde"
"27","Lewisetta:VA","Lewisetta","W4-VA","MVP-JR-2","3",0.458376578446635,"VA","cde"
"28","Lewisetta:VA","Lewisetta","W4-VA","MVP-JR-3","3",0.597493560745438,"VA","cde"
"29","YorkRiver:DEBY","YorkRiver","S2-DEBY","MVP-DEBY-4","3",0.492392251647164,"DEBY","def"
"30","YorkRiver:DEBY","YorkRiver","S2-DEBY","MVP-DEBY-5","3",0.479108362765346,"DEBY","def"
"31","YorkRiver:DEBY","YorkRiver","S2-DEBY","MVP-DEBY-6","3",0.505322063538327,"DEBY","def"
"32","YorkRiver:FL","YorkRiver","W3-FL","MVP-FL-4","3",0.60868405255786,"FL","cde"
"33","YorkRiver:FL","YorkRiver","W3-FL","MVP-FL-5","3",0.521527744870398,"FL","cde"
"34","YorkRiver:FL","YorkRiver","W3-FL","MVP-FL-6","3",0.533288201160542,"FL","cde"
"35","YorkRiver:HYBRIDMIX","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-4","3",0.333052029322367,"HYBRIDMIX","fg"
"36","YorkRiver:HYBRIDMIX","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-5","3",0.335561292619959,"HYBRIDMIX","fg"
"37","YorkRiver:HYBRIDMIX","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-6","3",0.331630686574137,"HYBRIDMIX","fg"
"38","YorkRiver:LA","YorkRiver","W2-LA","MVP-LA-4","3",0.255757239445669,"LA","fgh"
"39","YorkRiver:LA","YorkRiver","W2-LA","MVP-LA-5","3",0.383553098848161,"LA","fgh"
"40","YorkRiver:LA","YorkRiver","W2-LA","MVP-LA-6","3",0.289135159957141,"LA","fgh"
"41","YorkRiver:LOLA","YorkRiver","S1-LOLA","MVP-LOLA-4","3",0.281319930380421,"LOLA","fgh"
"42","YorkRiver:LOLA","YorkRiver","S1-LOLA","MVP-LOLA-5","3",0.338871603028723,"LOLA","fgh"
"43","YorkRiver:LOLA","YorkRiver","S1-LOLA","MVP-LOLA-6","3",0.33893496814521,"LOLA","fgh"
"44","YorkRiver:ME","YorkRiver","W6-ME","MVP-ME-4","3",0.0265118742826874,"ME","i"
"45","YorkRiver:ME","YorkRiver","W6-ME","MVP-ME-5","3",0.0516630351192002,"ME","i"
"46","YorkRiver:ME","YorkRiver","W6-ME","MVP-ME-6","3",0.0251590815393716,"ME","i"
"47","YorkRiver:NH","YorkRiver","W5-NH","MVP-NH-4","3",0.00513771048166036,"NH","i"
"48","YorkRiver:NH","YorkRiver","W5-NH","MVP-NH-5","3",0.0621763397540812,"NH","i"
"49","YorkRiver:NH","YorkRiver","W5-NH","MVP-NH-6","3",0.0515083770171652,"NH","i"
"50","YorkRiver:SEEDMIX","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-4","3",0.340709881135413,"SEEDMIX","ef"
"51","YorkRiver:SEEDMIX","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-5","3",0.391604273274082,"SEEDMIX","ef"
"52","YorkRiver:SEEDMIX","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-6","3",0.384609139803132,"SEEDMIX","ef"
"53","YorkRiver:TX","YorkRiver","W1-TX","MVP-TX-4","3",0.36449449538562,"TX","def"
"54","YorkRiver:TX","YorkRiver","W1-TX","MVP-TX-5","3",0.520800254048904,"TX","def"
"55","YorkRiver:TX","YorkRiver","W1-TX","MVP-TX-6","3",0.440677966101695,"TX","def"
"56","YorkRiver:VA","YorkRiver","W4-VA","MVP-JR-4","3",0.533131654159215,"VA","def"
"57","YorkRiver:VA","YorkRiver","W4-VA","MVP-JR-5","3",0.431804541846553,"VA","def"
"58","YorkRiver:VA","YorkRiver","W4-VA","MVP-JR-6","3",0.465754474723085,"VA","def"
