"","letters","popsite"
"1","a","Lewisetta:LOLA"
"2","a","Lewisetta:LA"
"3","b","Lewisetta:DEBY"
"4","bc","Lewisetta:SEEDMIX"
"5","bcd","Lewisetta:TX"
"6","bcde","Lewisetta:HYBRIDMIX"
"7","cde","Lewisetta:VA"
"8","cdef","Lewisetta:FL"
"9","defg","YorkRiver:DEBY"
"10","efgh","YorkRiver:LOLA"
"11","fgh","YorkRiver:HYBRIDMIX"
"12","gh","YorkRiver:FL"
"13","gh","YorkRiver:VA"
"14","hi","YorkRiver:SEEDMIX"
"15","hi","Lewisetta:ME"
"16","ij","YorkRiver:LA"
"17","ij","YorkRiver:TX"
"18","ij","YorkRiver:ME"
"19","j","Lewisetta:NH"
"20","j","YorkRiver:NH"
